product,rarity,number,market price,listed median
Chill to the Bone (Red),Common,ELE163,$0.08,—
Chill to the Bone (Yellow),Common,ELE164,$0.05,—
Chilling Icevein (Blue),Common,ELE052,$0.08,—
Chilling Icevein (Red),Common,ELE050,$0.07,—
Chilling Icevein (Yellow),Common,ELE051,$0.06,—
Coat of Frost,Common,ELE145,$0.08,—
Cold Wave (Blue),Rare,ELE040,$0.11,—
Cold Wave (Red),Rare,ELE038,$0.13,—
Cold Wave (Yellow),Rare,ELE039,$0.10,—
Cracked Bauble,Token,ELE237,$0.07,—
Cracker Jax,Common,ELE235,$0.09,—
Crown of Seeds,Legendary,ELE115,$65.35,—
Dazzling Crescendo (Blue),Common,ELE055,$0.09,—
Dazzling Crescendo (Red),Common,ELE053,$0.07,—
Dazzling Crescendo (Yellow),Common,ELE054,$0.08,—
Deep Blue,Common,ELE234,$0.10,—
Duskblade,Majestic,ELE223,$0.42,—
Earthlore Surge (Blue),Common,ELE139,$0.12,—
Earthlore Surge (Red),Common,ELE137,$0.06,—
Earthlore Surge (Yellow),Common,ELE138,$0.07,—
Electrify (Blue),Common,ELE200,$0.09,—
Electrify (Red),Common,ELE198,$0.08,—
Electrify (Yellow),Common,ELE199,$0.07,—
Embodiment of Earth // Embodiment of Lightning,Token,ELE109 // ELE110,$0.06,—
Embodiment of Earth // Shiver,Token,ELE109 // ELE033,$0.06,—
Embodiment of Lightning // Titan's Fist,Token,ELE110 // ELE202,$0.08,—
Embolden (Blue),Rare,ELE208,$0.14,—
Embolden (Red),Rare,ELE206,$0.11,—
Embolden (Yellow),Rare,ELE207,$0.09,—
Emerging Avalanche (Blue),Common,ELE027,$0.07,—
Emerging Avalanche (Red),Common,ELE025,$0.04,—
Emerging Avalanche (Yellow),Common,ELE026,$0.05,—
Endless Winter,Majestic,ELE004,$0.98,—
Entangle (Blue),Common,ELE015,$0.06,—
Entangle (Red),Common,ELE013,$0.08,—
Entangle (Yellow),Common,ELE014,$0.04,—
Entwine Earth (Blue),Common,ELE096,$0.05,—
Entwine Earth (Red),Common,ELE094,$0.05,—
Entwine Earth (Yellow),Common,ELE095,$0.07,—
Entwine Ice (Blue),Common,ELE099,$0.04,—
Entwine Ice (Red),Common,ELE097,$0.05,—
Entwine Ice (Yellow),Common,ELE098,$0.05,—
Entwine Lightning (Blue),Common,ELE102,$0.07,—
Entwine Lightning (Red),Common,ELE100,$0.08,—
Entwine Lightning (Yellow),Common,ELE101,$0.07,—
Evergreen (Blue),Rare,ELE121,$0.11,—
Evergreen (Red),Rare,ELE119,$0.11,—
Evergreen (Yellow),Rare,ELE120,$0.08,—
Explosive Growth (Blue),Rare,ELE069,$0.14,—
Explosive Growth (Red),Rare,ELE067,$0.14,—
Explosive Growth (Yellow),Rare,ELE068,$0.12,—
Exposed to the Elements,Majestic,ELE093,$0.40,—
Flake Out (Blue),Common,ELE058,$0.04,—
Flake Out (Red),Common,ELE056,$0.06,—
Flake Out (Yellow),Common,ELE057,$0.05,—
Flash (Blue),Rare,ELE179,$0.10,—
Flash (Red),Rare,ELE177,$0.09,—
Flash (Yellow),Rare,ELE178,$0.08,—
Flashfreeze,Majestic,ELE092,$0.23,—
Flicker Wisp,Majestic,ELE065,$0.20,—
Force of Nature,Majestic,ELE066,$0.90,—
Frazzle (Blue),Common,ELE061,$0.05,—
Frazzle (Red),Common,ELE059,$0.04,—
Frazzle (Yellow),Common,ELE060,$0.04,—
Frost Fang (Blue),Rare,ELE150,$0.18,—
Frost Fang (Red),Rare,ELE148,$0.21,—
Frost Fang (Yellow),Rare,ELE149,$0.19,—
Frost Lock,Majestic,ELE035,$1.23,—
Fulminate,Majestic,ELE091,$0.22,—
Glacial Footsteps (Blue),Common,ELE018,$0.07,—
Glacial Footsteps (Red),Common,ELE016,$0.07,—
Glacial Footsteps (Yellow),Common,ELE017,$0.06,—
Heart of Ice,Legendary,ELE144,$91.32,—
Heaven's Claws (Blue),Common,ELE194,$0.09,—
Heaven's Claws (Red),Common,ELE192,$0.08,—
Heaven's Claws (Yellow),Common,ELE193,$0.04,—
Honing Hood,Common,ELE214,$0.08,—
Ice Quake (Blue),Rare,ELE153,$0.51,—
Ice Quake (Red),Rare,ELE151,$0.22,—
Ice Quake (Yellow),Rare,ELE152,$0.21,—
Ice Storm,Majestic,ELE037,$0.21,—
Icy Encounter (Blue),Common,ELE159,$0.09,—
Icy Encounter (Red),Common,ELE157,$0.09,—
Icy Encounter (Yellow),Common,ELE158,$0.10,—
Inspire Lightning (Blue),Common,ELE090,$0.10,—
Inspire Lightning (Red),Common,ELE088,$0.08,—
Inspire Lightning (Yellow),Common,ELE089,$0.07,—
Invigorate (Blue),Common,ELE105,$0.04,—
Invigorate (Red),Common,ELE103,$0.06,—
Invigorate (Yellow),Common,ELE104,$0.06,—
"Korshem, Crossroad of Elements",Fabled,ELE000,$164.80,—
Lexi // Frostbite,Token,ELE032 // ELE111,$0.08,—
"Lexi, Livewire // Lexi",Token,ELE031 // ELE032,$4.99,—
"Lexi, Livewire // Rosetta Thorn",Token,ELE031 // ELE222,$0.14,—
Light it Up,Majestic,ELE036,$0.71,—
Lightning Press (Blue),Rare,ELE185,$0.12,—
Lightning Press (Red),Rare,ELE183,$0.58,—
Lightning Press (Yellow),Rare,ELE184,$0.18,—
Lightning Surge (Blue),Common,ELE191,$0.09,—
Lightning Surge (Red),Common,ELE189,$0.15,—
Lightning Surge (Yellow),Common,ELE190,$0.07,—
Mark of Lightning,Common,ELE174,$0.06,—
Mulch (Blue),Common,ELE021,$0.07,—
Mulch (Red),Common,ELE019,$0.05,—
Mulch (Yellow),Common,ELE020,$0.05,—
New Horizon,Legendary,ELE213,$228.03,—
Oaken Old,Majestic,ELE005,$0.77,—
Oldhim // Frostbite,Token,ELE002 // ELE111,$0.07,—
"Oldhim, Grandfather of Eternity // Oldhim",Token,ELE001 // ELE002,—,—
"Oldhim, Grandfather of Eternity // Shiver",Token,ELE001 // ELE033,$0.11,—
Over Flex (Blue),Common,ELE221,$0.09,—
Over Flex (Red),Common,ELE219,$0.08,—
Over Flex (Yellow),Common,ELE220,$0.08,—
Plume of Evergrowth,Common,ELE116,$0.04,—
Polar Blast (Blue),Common,ELE168,$0.16,—
Polar Blast (Red),Common,ELE166,$0.09,—
Polar Blast (Yellow),Common,ELE167,$0.10,—
Pulse of Candlehold,Majestic,ELE113,$1.00,—
Pulse of Isenloft,Majestic,ELE114,$1.13,—
Pulse of Volthaven,Majestic,ELE112,$1.96,—
Ragamuffin's Hat,Common,ELE233,$0.10,—
Rampart of the Ram's Head,Legendary,ELE203,$75.73,—
Rejuvenate (Blue),Common,ELE108,$0.05,—
Rejuvenate (Red),Common,ELE106,$0.06,—
Rejuvenate (Yellow),Common,ELE107,$0.07,—
Rites of Lightning (Blue),Rare,ELE072,$0.10,—
Rites of Lightning (Red),Rare,ELE070,$0.10,—
Rites of Lightning (Yellow),Rare,ELE071,$0.11,—
Rites of Replenishment (Blue),Common,ELE081,$0.06,—
Rites of Replenishment (Red),Common,ELE079,$0.06,—
Rites of Replenishment (Yellow),Common,ELE080,$0.12,—
Rotten Old Buckler,Common,ELE204,$0.06,—
Runaways,Common,ELE236,$0.07,—
Seek and Destroy,Majestic,ELE215,$1.70,—
Seismic Surge // Rosetta Thorn,Token,ELE212 // ELE222,$0.06,—
Shock Charmers,Legendary,ELE173,$95.51,—
Shock Striker (Blue),Common,ELE197,$0.08,—
Shock Striker (Red),Common,ELE195,$0.04,—
Shock Striker (Yellow),Common,ELE196,$0.06,—
Sigil of Suffering (Blue),Rare,ELE229,$0.08,—
Sigil of Suffering (Red),Rare,ELE227,$0.19,—
Sigil of Suffering (Yellow),Rare,ELE228,$0.08,—
Singeing Steelblade (Blue),Common,ELE232,$0.08,—
Singeing Steelblade (Red),Common,ELE230,$0.09,—
Singeing Steelblade (Yellow),Common,ELE231,$0.08,—
Snap Shot (Blue),Rare,ELE043,$0.14,—
Snap Shot (Red),Rare,ELE041,$0.14,—
Snap Shot (Yellow),Rare,ELE042,$0.14,—
Snow Under (Blue),Common,ELE024,$0.07,—
Snow Under (Red),Common,ELE022,$0.08,—
Snow Under (Yellow),Common,ELE023,$0.05,—
Sow Tomorrow (Blue),Common,ELE142,$0.08,—
Sow Tomorrow (Red),Common,ELE140,$0.05,—
Sow Tomorrow (Yellow),Common,ELE141,$0.05,—
Spellbound Creepers,Legendary,ELE224,$191.23,—
Sting of Sorcery,Majestic,ELE226,$0.54,—
Stir the Wildwood (Blue),Common,ELE084,$0.09,—
Stir the Wildwood (Red),Common,ELE082,$0.07,—
Stir the Wildwood (Yellow),Common,ELE083,$0.07,—
Strength of Sequoia (Blue),Common,ELE030,$0.03,—
Strength of Sequoia (Red),Common,ELE028,$0.04,—
Strength of Sequoia (Yellow),Common,ELE029,$0.03,—
Summerwood Shelter (Blue),Rare,ELE127,$0.10,—
Summerwood Shelter (Red),Rare,ELE125,$0.14,—
Summerwood Shelter (Yellow),Rare,ELE126,$0.07,—
Sutcliffe's Suede Hides,Common,ELE225,$0.08,—
Tear Asunder,Majestic,ELE205,$3.74,—
Thump (Blue),Common,ELE211,$0.10,—
Thump (Red),Common,ELE209,$0.09,—
Thump (Yellow),Common,ELE210,$0.07,—
Tome of Harvests,Majestic,ELE118,$0.88,—
Turn Timber (Blue),Rare,ELE012,$0.17,—
Turn Timber (Red),Rare,ELE010,$0.10,—
Turn Timber (Yellow),Rare,ELE011,$0.13,—
Vela Flash (Blue),Common,ELE078,$0.10,—
Vela Flash (Red),Common,ELE076,$0.07,—
Vela Flash (Yellow),Common,ELE077,$0.12,—
"Voltaire, Strike Twice",Majestic,ELE034,$3.37,—
Weave Earth (Blue),Rare,ELE124,$0.10,—
Weave Earth (Red),Rare,ELE122,$0.15,—
Weave Earth (Yellow),Rare,ELE123,$0.15,—
Weave Ice (Blue),Rare,ELE156,$0.16,—
Weave Ice (Red),Rare,ELE154,$0.13,—
Weave Ice (Yellow),Rare,ELE155,$0.15,—
Weave Lightning (Blue),Rare,ELE182,$0.10,—
Weave Lightning (Red),Rare,ELE180,$0.11,—
Weave Lightning (Yellow),Rare,ELE181,$0.12,—
Winter's Bite (Blue),Common,ELE171,$0.33,—
Winter's Bite (Red),Common,ELE169,$0.10,—
Winter's Bite (Yellow),Common,ELE170,$0.11,—
Winter's Grasp (Blue),Common,ELE162,$0.09,—
Winter's Grasp (Red),Common,ELE160,$0.09,—
Winter's Grasp (Yellow),Common,ELE161,$0.06,—
Winter's Wail,Majestic,ELE003,$2.05,—
Battlefield Blitz,Rare,BOL010,$0.50,—
Bolt of Courage (Blue),Common,BOL022,$0.15,—
Bolt of Courage (Red),Common,BOL011,$0.29,—
Boltyn,Rare,BOL001,$0.42,—
Courageous Steelhand,Common,BOL012,$0.24,—
Courageous Steelhand (Yellow),Common,BOL018,$0.15,—
Cross the Line (Red),Common,BOL013,$0.14,—
Cross the Line (Yellow),Common,BOL019,$0.04,—
Dusk Path Pilgrimage (Red),Rare,BOL029,$0.39,—
Engulfing Light (Blue),Common,BOL023,$0.17,—
Engulfing Light (Red),Common,BOL014,$0.19,—
Express Lightning (Red),Common,BOL015,$0.19,—
Express Lightning (Yellow),Common,BOL020,$0.21,—
Gallantry Gold,Common,BOL007,$0.05,—
Halo of Illumination,Common,BOL005,—,—
Hatchet of Body,Common,BOL003,$1.25,—
Hatchet of Mind,Common,BOL004,$1.00,—
Illuminate (Blue),Common,BOL027,$0.15,—
Invigorating Light (Red),Rare,BOL024,$0.25,—
Minerva Themis,Majestic,BOL002,$5.64,—
Push Forward (Red),Common,BOL030,$0.44,—
Rising Solartide (Red),Common,BOL025,$0.05,—
Rising Solartide (Yellow),Common,BOL026,$0.05,—
Seek Enlightenment (Blue),Common,BOL028,—,—
Snapdragon Scalers,Common,BOL008,$1.65,—
Spell Fray Cloak,Common,BOL006,$0.60,—
Take Flight (Red),Common,BOL016,$0.17,—
Take Flight (Yellow),Common,BOL021,$0.28,—
V of the Vanguard,Rare,BOL009,$1.14,—
Valiant Thrust,Rare,BOL017,$0.39,—
Aether Ironweave,Common,CHN005,$0.71,—
Arcanic Crackle (Blue),Common,CHN027,$0.26,—
Bounding Demigon (Red),Common,CHN009,$0.36,—
Chane,Rare,CHN001,$0.65,—
Consuming Volition (Red),Common,CHN025,$0.25,—
Ebon Fold,Common,CHN004,$0.37,—
Galaxxi Black,Rare,CHN003,$1.04,—
Ghostly Visit (Red),Common,CHN021,$0.25,—
Howl from Beyond (Red),Rare,CHN022,$1.96,—
Lord Sutcliffe,Majestic,CHN002,$1.30,—
Lunartide Plunderer (Yellow),Common,CHN023,—,—
Piercing Shadow Vise (Blue),Common,CHN018,$0.25,—
Piercing Shadow Vise (Red),Common,CHN010,—,—
Rift Bind (Blue),Common,CHN019,$0.10,—
Rift Bind (Red),Common,CHN011,$0.10,—
Rifted Torment (Blue),Common,CHN020,—,—
Rifted Torment (Red),Common,CHN012,—,—
Rip Through Reality (Red),Common,CHN013,$0.18,—
Seeds of Agony (Red),Common,CHN014,—,—
Seeds of Agony (Yellow),Common,CHN016,$0.33,—
Seeping Shadows (Yellow),Rare,CHN017,$0.25,—
Snapdragon Scalers,Common,CHN007,$1.38,—
Soul Reaping,Rare,CHN008,$0.99,—
Soul Shackle,Token,CHN030,$0.75,—
Spell Fray Gloves,Common,CHN006,—,—
Spew Shadow (Yellow),Common,CHN024,—,—
Unhallowed Rites (Red),Rare,CHN015,$0.69,—
Vexing Malice (Red),Rare,CHN026,$1.30,—
Warmonger's Recital (Red),Common,CHN028,—,—
Warmonger's Recital (Yellow),Common,CHN029,$0.99,—
Blood Tribute (Blue),Common,LEV025,$0.25,—
Boneyard Marauder (Blue),Common,LEV018,—,—
Boneyard Marauder (Red),Common,LEV009,$0.25,—
Consuming Aftermath (Red),Rare,LEV023,$0.49,—
Convulsions from the Bellows of Hell (Blue),Rare,LEV019,$0.95,—
Deadwood Rumbler (Blue),Common,LEV020,$0.23,—
Deadwood Rumbler (Red),Common,LEV010,—,—
Dread Screamer (Blue),Common,LEV021,—,—
Dread Screamer (Red),Common,LEV011,$0.25,—
Ebon Fold,Common,LEV004,$0.40,—
Endless Maw (Red),Rare,LEV012,$0.46,—
Goliath Gauntlet,Common,LEV006,$0.24,—
Graveling Growl (Red),Common,LEV013,$0.19,—
Hooves of the Shadowbeast,Common,LEV007,$0.24,—
Hungering Slaughterbeast (Red),Common,LEV014,$0.23,—
Hungering Slaughterbeast (Yellow),Common,LEV017,$0.20,—
Lady Barthimont,Majestic,LEV002,$2.90,—
Levia,Rare,LEV001,$0.64,—
Lunartide Plunderer (Yellow),Common,LEV024,$0.23,—
Rally the Rearguard (Blue),Common,LEV029,—,—
Rally the Rearguard (Red),Common,LEV028,$0.25,—
Ravenous Meataxe,Common,LEV003,$0.97,—
Smash with Big Tree (Red),Common,LEV026,$0.18,—
Smash with Big Tree (Yellow),Common,LEV027,—,—
Soul Harvest,Rare,LEV008,$0.25,—
Spell Fray Cloak,Common,LEV005,$1.45,—
Unworldly Bellow (Blue),Common,LEV022,—,—
Unworldly Bellow (Red),Common,LEV015,$0.23,—
Writhing Beast Hulk (Red),Rare,LEV016,$3.75,—
Dream Weavers,Common,PSM006,$0.20,—
Enigma Chimera (Blue),Common,PSM028,$0.25,—
Enigma Chimera (Yellow),Common,PSM027,—,—
Halo of Illumination,Common,PSM004,$0.05,—
Heartened Cross Strap,Common,PSM005,$3.09,—
Herald of Judgment,Rare,PSM008,$1.30,—
Herald of Protection (Blue),Common,PSM016,—,—
Herald of Protection (Red),Common,PSM009,$0.07,—
Herald of Ravages (Blue),Common,PSM017,—,—
Herald of Ravages (Red),Common,PSM010,$0.07,—
Herald of Rebirth (Blue),Common,PSM018,$0.41,—
Herald of Rebirth (Red),Common,PSM011,—,—
Herald of Tenacity (Blue),Common,PSM019,—,—
Herald of Tenacity (Red),Common,PSM012,—,—
Illuminate (Blue),Common,PSM024,$0.25,—
Illuminate (Red),Common,PSM021,$0.25,—
Iris of Reality,Common,PSM003,$0.69,—
Merciful Retribution,Rare,PSM014,$0.69,—
Ode to Wrath,Rare,PSM015,$0.67,—
Phantasmify (Red),Rare,PSM025,$0.46,—
Prism,Rare,PSM001,$0.73,—
Prismatic Shield (Red),Rare,PSM026,$1.00,—
Rising Solartide (Yellow),Common,PSM023,—,—
Seek Enlightenment (Red),Common,PSM022,$0.58,—
Spears of Surreality (Blue),Common,PSM029,—,—
Spectral Shield,Token,PSM030,$0.50,—
Spell Fray Leggings,Rare,PSM007,$3.50,—
The Librarian,Majestic,PSM002,$1.34,—
Wartune Herald (Blue),Common,PSM020,$0.40,—
Wartune Herald (Red),Common,PSM013,$0.40,—
Adrenaline Rush (Blue),Common,MON265,$0.05,—
Adrenaline Rush (Red),Common,MON263,$0.07,—
Adrenaline Rush (Yellow),Common,MON264,$0.07,—
Aether Ironweave,Common,MON230,$0.16,—
Arc Light Sentinel,Majestic,MON005,$2.61,—
Arcanic Crackle (Blue),Common,MON237,$0.09,—
Arcanic Crackle (Red),Common,MON235,$0.20,—
Arcanic Crackle (Yellow),Common,MON236,$0.28,—
Battlefield Blitz (Blue),Rare,MON038,$0.28,—
Battlefield Blitz (Red),Rare,MON036,$0.20,—
Battlefield Blitz (Yellow),Rare,MON037,$0.16,—
Beacon of Victory,Majestic,MON033,$2.71,—
Belittle (Blue),Common,MON268,$0.15,—
Belittle (Red),Common,MON266,$0.33,—
Belittle (Yellow),Common,MON267,$0.20,—
"Blasmophet, the Soul Harvester // Ursur, the Soul Reaper",Token,MON219 / MON220,$0.51,—
Blinding Beam (Blue),Common,MON086,$0.19,—
Blinding Beam (Red),Common,MON084,$0.10,—
Blinding Beam (Yellow),Common,MON085,$0.20,—
Blood Drop Brocade,Common,MON238,$0.14,—
Blood Tribute (Blue),Common,MON217,$0.19,—
Blood Tribute (Red),Common,MON215,$0.20,—
Blood Tribute (Yellow),Common,MON216,$0.16,—
Bolt of Courage (Blue),Common,MON044,$0.09,—
Bolt of Courage (Red),Common,MON042,$0.13,—
Bolt of Courage (Yellow),Common,MON043,$0.16,—
Bolting Blade,Majestic,MON032,$2.10,—
Boltyn // 	Galaxxi Black,Token,MON030 // MON155,$0.10,—
Boltyn // Hatchet of Body,Token,MON030 // MON105,$0.10,—
"Boltyn // Ser Boltyn, Breaker of Dawn",Token,MON030 // MON029,$0.15,—
Boneyard Marauder (Blue),Common,MON137,$0.05,—
Boneyard Marauder (Red),Common,MON135,$0.09,—
Boneyard Marauder (Yellow),Common,MON136,$0.05,—
Bounding Demigon (Blue),Common,MON170,$0.20,—
Bounding Demigon (Red),Common,MON168,$0.15,—
Bounding Demigon (Yellow),Common,MON169,$0.26,—
Brandish (Blue),Common,MON271,$0.06,—
Brandish (Red),Common,MON269,$0.08,—
Brandish (Yellow),Common,MON270,$0.10,—
Captain's Call (Blue),Rare,MON262,$0.72,—
Captain's Call (Red),Rare,MON260,$0.50,—
Captain's Call (Yellow),Rare,MON261,$0.69,—
Carrion Husk,Legendary,MON187,$252.95,—
Celestial Cataclysm,Majestic,MON062,$7.01,—
"Chane // Chane, Bound by Shadow",Token,MON154 // MON153,$0.17,—
Chane // Galaxxi Black,Token,MON154 // MON155,$0.09,—
Chane // Hatchet of Body,Token,MON154 // MON105,$0.04,—
Consuming Aftermath (Blue),Rare,MON197,$0.17,—
Consuming Aftermath (Red),Rare,MON195,$0.15,—
Consuming Aftermath (Yellow),Rare,MON196,$0.23,—
Convulsions from the Bellows of Hell (Blue),Rare,MON134,$0.21,—
Convulsions from the Bellows of Hell (Red),Rare,MON132,$0.16,—
Convulsions from the Bellows of Hell (Yellow),Rare,MON133,$0.10,—
Courageous Steelhand (Blue),Common,MON059,$0.11,—
Courageous Steelhand (Red),Common,MON057,$0.11,—
Courageous Steelhand (Yellow),Common,MON058,$0.07,—
Cracked Bauble,Token,MON306,$0.23,—
Cross the Line (Blue),Common,MON047,$0.14,—
Cross the Line (Red),Common,MON045,$0.05,—
Cross the Line (Yellow),Common,MON046,$0.05,—
Deadwood Rumbler (Blue),Common,MON140,$0.12,—
Deadwood Rumbler (Red),Common,MON138,$0.08,—
Deadwood Rumbler (Yellow),Common,MON139,$0.19,—
Deep Rooted Evil,Majestic,MON123,$0.69,—
Dimenxxional Crossroads,Majestic,MON157,$1.95,—
Dimenxxional Gateway (Blue),Rare,MON164,$0.19,—
Dimenxxional Gateway (Red),Rare,MON162,$0.24,—
Dimenxxional Gateway (Yellow),Rare,MON163,$0.17,—
Doomsday,Legendary,MON189,$72.22,—
Dread Screamer (Blue),Common,MON143,$0.13,—
Dread Screamer (Red),Common,MON141,$0.13,—
Dread Screamer (Yellow),Common,MON142,$0.06,—
Dread Scythe,Majestic,MON229,$0.33,—
Dream Weavers,Common,MON090,$0.08,—
Dusk Path Pilgrimage (Blue),Rare,MON112,$0.30,—
Dusk Path Pilgrimage (Red),Rare,MON110,$0.20,—
Dusk Path Pilgrimage (Yellow),Rare,MON111,$0.20,—
Ebon Fold,Common,MON188,$0.10,—
Eclipse,Legendary,MON190,$69.16,—
Eclipse Existence,Common,MON218,$0.05,—
Endless Maw (Blue),Rare,MON128,$0.15,—
Endless Maw (Red),Rare,MON126,$0.40,—
Endless Maw (Yellow),Rare,MON127,$0.16,—
Engulfing Light (Blue),Common,MON050,$0.11,—
Engulfing Light (Red),Common,MON048,$0.12,—
Engulfing Light (Yellow),Common,MON049,$0.17,—
Enigma Chimera (Blue),Common,MON100,$0.17,—
Enigma Chimera (Red),Common,MON098,$0.09,—
Enigma Chimera (Yellow),Common,MON099,$0.12,—
Express Lightning (Blue),Common,MON053,$0.09,—
Express Lightning (Red),Common,MON051,$0.13,—
Express Lightning (Yellow),Common,MON052,$0.12,—
Exude Confidence,Majestic,MON245,$3.99,—
Frontline Scout (Blue),Common,MON274,$0.04,—
Frontline Scout (Red),Common,MON272,$0.12,—
Frontline Scout (Yellow),Common,MON273,$0.06,—
Galaxxi Black (Alternate Art),Majestic,MON155,$119.97,—
Galaxxi Black // Soul Shackle,Token,MON155 // MON186,$0.15,—
Gallantry Gold,Common,MON108,$0.09,—
Genesis,Majestic,MON006,$4.09,—
Ghostly Visit (Blue),Common,MON205,$0.10,—
Ghostly Visit (Red),Common,MON203,$0.14,—
Ghostly Visit (Yellow),Common,MON204,$0.08,—
Glisten (Blue),Rare,MON071,$0.20,—
Glisten (Red),Rare,MON069,$0.18,—
Glisten (Yellow),Rare,MON070,$0.22,—
Graveling Growl (Blue),Common,MON146,$0.20,—
Graveling Growl (Red),Common,MON144,$0.18,—
Graveling Growl (Yellow),Common,MON145,$0.16,—
Great Library of Solana,Fabled,MON000,$555.34,—
Guardian of the Shadowrealm,Majestic,MON192,$0.95,—
Halo of Illumination,Common,MON061,$0.18,—
Hatchet of Body // Spectral Shield,Token,MON105 // MON104,$0.13,—
Hatchet of Mind // Spectral Shield,Token,MON106 // MON104,$0.08,—
Herald of Erudition,Majestic,MON004,$8.54,—
Herald of Erudition (Extended Art),Majestic,MON004,$162.60,—
Herald of Judgment,Rare,MON007,$0.25,—
Herald of Protection (Blue),Common,MON016,$0.14,—
Herald of Protection (Red),Common,MON014,$0.17,—
Herald of Protection (Yellow),Common,MON015,$0.18,—
Herald of Ravages (Blue),Common,MON019,$0.12,—
Herald of Ravages (Red),Common,MON017,$0.09,—
Herald of Ravages (Yellow),Common,MON018,$0.12,—
Herald of Rebirth (Blue),Common,MON022,$0.20,—
Herald of Rebirth (Red),Common,MON020,$0.14,—
Herald of Rebirth (Yellow),Common,MON021,$0.15,—
Herald of Tenacity (Blue),Common,MON025,$0.09,—
Herald of Tenacity (Red),Common,MON023,$0.18,—
Herald of Tenacity (Yellow),Common,MON024,$0.09,—
Herald of Triumph (Blue),Rare,MON010,$0.26,—
Herald of Triumph (Red),Rare,MON008,$0.34,—
Herald of Triumph (Yellow),Rare,MON009,$0.59,—
"Hexagore, the Death Hydra",Majestic,MON121,$0.43,—
Hooves of the Shadowbeast,Common,MON122,$0.16,—
Howl from Beyond (Blue),Rare,MON202,$0.16,—
Howl from Beyond (Red),Rare,MON200,$0.45,—
Howl from Beyond (Yellow),Rare,MON201,$0.16,—
Hungering Slaughterbeast (Blue),Common,MON149,$0.07,—
Hungering Slaughterbeast (Red),Common,MON147,$0.07,—
Hungering Slaughterbeast (Yellow),Common,MON148,$0.13,—
Illuminate (Blue),Common,MON074,$0.09,—
Illuminate (Red),Common,MON072,$0.10,—
Illuminate (Yellow),Common,MON073,$0.13,—
Impenetrable Belief (Blue),Common,MON077,$0.08,—
Impenetrable Belief (Red),Common,MON075,$0.12,—
Impenetrable Belief (Yellow),Common,MON076,$0.05,—
Invert Existence,Majestic,MON158,$1.82,—
Invigorating Light (Blue),Rare,MON068,$0.13,—
Invigorating Light (Red),Rare,MON066,$0.34,—
Invigorating Light (Yellow),Rare,MON067,$0.16,—
Iris of Reality // Prism,Token,MON088 // MON002,$0.10,—
Iris of Reality // Spectral Shield,Token,MON088 // MON104,$0.13,—
Ironhide Gauntlet,Common,MON243,$0.20,—
Ironhide Helm,Common,MON241,$0.16,—
Ironhide Legs,Common,MON244,$0.17,—
Ironhide Plate,Common,MON242,$0.17,—
Levia // Iris of Reality,Token,MON120 // MON088,—,—
"Levia // Levia, Shadowborn Abomination",Token,MON120 // MON119,$0.13,—
Levia // Ravenous Meataxe,Token,MON120 // MON221,$0.10,—
Lumina Ascension,Majestic,MON034,$2.65,—
Lumina Ascension (Extended Art),Majestic,MON034,$100.40,—
Luminaris,Majestic,MON003,$2.12,—
Lunartide Plunderer (Blue),Common,MON208,$0.05,—
Lunartide Plunderer (Red),Common,MON206,$0.08,—
Lunartide Plunderer (Yellow),Common,MON207,$0.03,—
Mark of the Beast,Majestic,MON124,$1.32,—
Mark of the Beast (Extended Art),Majestic,MON124,$54.30,—
Memorial Ground (Blue),Common,MON305,$0.13,—
Memorial Ground (Red),Common,MON303,$0.12,—
Memorial Ground (Yellow),Common,MON304,$0.15,—
Merciful Retribution,Rare,MON012,$0.40,—
Minnowism (Blue),Common,MON298,$0.42,—
Minnowism (Red),Common,MON296,$0.22,—
Minnowism (Yellow),Common,MON297,$0.12,—
Mutated Mass,Majestic,MON191,$0.45,—
Nourishing Emptiness,Majestic,MON246,$8.73,—
Ode to Wrath,Rare,MON013,$0.42,—
Out Muscle (Blue),Rare,MON250,$0.15,—
Out Muscle (Red),Rare,MON248,$0.21,—
Out Muscle (Yellow),Rare,MON249,$0.13,—
Overload (Blue),Common,MON277,$0.05,—
Overload (Red),Common,MON275,$0.17,—
Overload (Yellow),Common,MON276,$0.15,—
Parable of Humility,Rare,MON011,$0.44,—
Phantasmaclasm,Majestic,MON091,$1.12,—
Phantasmal Footsteps,Legendary,MON089,$311.97,—
Phantasmify (Blue),Rare,MON097,$0.18,—
Phantasmify (Red),Rare,MON095,$0.18,—
Phantasmify (Yellow),Rare,MON096,$0.17,—
Piercing Shadow Vise (Blue),Common,MON173,$0.05,—
Piercing Shadow Vise (Red),Common,MON171,$0.05,—
Piercing Shadow Vise (Yellow),Common,MON172,$0.06,—
Plow Through (Blue),Rare,MON115,$0.19,—
Plow Through (Red),Rare,MON113,$0.34,—
Plow Through (Yellow),Rare,MON114,$0.14,—
Pound for Pound (Blue),Common,MON280,$0.05,—
Pound for Pound (Red),Common,MON278,$0.05,—
Pound for Pound (Yellow),Common,MON279,$0.08,—
"Prism // Prism, Sculptor of Arc Light",Token,MON002 // MON001,$0.31,—
Prism // Ravenous Meataxe,Token,MON002 // MON221,$0.10,—
Prismatic Shield (Blue),Rare,MON094,$0.14,—
Prismatic Shield (Red),Rare,MON092,$0.41,—
Prismatic Shield (Yellow),Rare,MON093,$0.19,—
